time,host_name,packet_size,min,avg,max,deviation,loss_percent
1,nic.ru,64,146.268,148.978,149.947,1.401,0
1,nic.ru,128,146.337,148.844,151.894,1.687,0
1,nic.ru,256,146.501,148.350,151.033,1.819,0
1,nic.ru,512,146.864,149.069,150.422,1.611,0
1,nic.ru,1024,147.556,150.297,151.131,1.392,0
1,nic.ru,2048,151.467,151.587,152.345,0.524,0
1,nic.ru,64,146.227,148.679,149.898,1.581,0
1,nic.ru,128,146.320,148.605,150.131,1.689,0
1,nic.ru,256,146.572,149.312,150.770,1.342,0
1,nic.ru,512,146.829,149.129,150.666,1.674,0
1,nic.ru,1024,147.483,149.431,151.027,1.705,0
1,nic.ru,2048,151.438,151.560,151.723,0.068,0
1,nic.ru,64,146.163,148.149,149.880,1.744,0
1,nic.ru,128,146.319,149.152,150.186,1.455,0
1,nic.ru,256,146.531,148.938,150.130,1.527,0
1,nic.ru,512,146.841,148.771,150.441,1.692,0
1,nic.ru,1024,147.533,149.948,151.186,1.578,0
1,nic.ru,2048,151.433,151.568,152.173,0.258,0
1,nic.ru,64,146.293,148.516,149.925,1.587,0
1,nic.ru,128,146.436,148.917,149.831,1.490,0
1,nic.ru,256,146.553,149.151,150.707,1.492,0
1,nic.ru,512,146.800,149.017,151.854,1.809,0
1,nic.ru,1024,147.507,150.101,151.278,1.569,0
1,nic.ru,2048,151.459,151.579,151.850,0.417,0
1,nic.ru,64,146.287,148.953,150.261,1.506,0
1,nic.ru,128,146.392,148.955,150.335,1.501,0
1,nic.ru,256,146.541,148.963,150.330,1.571,0
1,nic.ru,512,146.895,149.281,150.653,1.612,0
1,nic.ru,1024,147.784,150.220,151.700,1.560,0
1,nic.ru,2048,151.728,151.810,151.928,0.251,0
1,nic.ru,64,146.525,149.134,150.404,1.535,0
1,nic.ru,128,146.649,149.367,150.279,1.413,0
1,nic.ru,256,146.788,149.212,150.447,1.571,0
1,nic.ru,512,147.064,149.679,150.742,1.533,0
1,nic.ru,1024,147.756,149.876,151.390,1.622,0
1,nic.ru,2048,151.718,151.815,152.103,0.500,0
1,nic.ru,64,149.742,149.881,150.125,0.291,0
1,nic.ru,128,146.537,148.208,150.360,1.711,0
1,nic.ru,256,146.751,148.886,150.944,1.745,0
1,nic.ru,512,147.119,149.360,150.784,1.637,0
1,nic.ru,1024,147.791,150.352,151.787,1.491,0
1,nic.ru,2048,151.740,151.818,151.970,0.307,0
1,nic.ru,64,146.473,149.454,150.515,1.314,0
1,nic.ru,128,146.559,149.415,150.630,1.427,0
1,nic.ru,256,146.777,149.341,150.392,1.490,0
1,nic.ru,512,147.049,149.296,150.982,1.632,0
1,nic.ru,1024,147.758,150.146,151.544,1.610,0
1,nic.ru,2048,151.615,151.722,152.080,0.162,0
1,nic.ru,64,146.507,148.850,150.097,1.518,0
1,nic.ru,128,146.642,149.091,150.294,1.428,0
1,nic.ru,256,146.785,149.012,150.538,1.645,0
1,nic.ru,512,147.069,149.107,150.514,1.601,0
1,nic.ru,1024,147.764,150.106,151.468,1.566,0
1,nic.ru,2048,151.618,151.738,152.231,0.294,0
1,nic.ru,64,146.421,148.868,150.427,1.598,0
1,nic.ru,128,146.583,148.621,155.321,2.212,0
1,nic.ru,256,146.787,149.315,150.512,1.406,0
1,nic.ru,512,147.083,149.922,151.052,1.153,0
1,nic.ru,1024,147.750,150.112,151.239,1.547,0
1,nic.ru,2048,151.577,151.803,152.724,0.570,0
1,nic.ru,64,146.442,148.767,150.690,1.689,0
1,nic.ru,128,146.493,148.642,150.367,1.666,0
1,nic.ru,256,146.754,148.946,150.440,1.583,0
1,nic.ru,512,147.114,151.433,172.425,5.986,0
1,nic.ru,1024,147.741,150.432,151.948,1.413,0
1,nic.ru,2048,151.584,151.716,152.191,0.515,0
1,nic.ru,64,146.469,148.528,150.463,1.668,0
1,nic.ru,128,146.551,149.088,150.113,1.462,0
1,nic.ru,256,146.758,149.285,150.336,1.419,0
1,nic.ru,512,147.127,149.076,150.944,1.600,0
1,nic.ru,1024,147.798,150.733,151.373,1.017,0
1,nic.ru,2048,151.633,151.774,152.293,0.424,0
1,nic.ru,64,146.441,146.898,149.835,0.866,0
1,nic.ru,128,146.533,146.845,148.209,0.412,0
1,nic.ru,256,146.762,146.896,147.423,0.305,0
1,nic.ru,512,147.132,147.297,148.038,0.486,0
1,nic.ru,1024,147.751,147.927,149.039,0.499,0
1,nic.ru,2048,148.456,148.752,149.255,0.411,0
1,nic.ru,64,146.381,146.678,147.733,0.541,0
1,nic.ru,128,146.495,147.046,148.445,0.687,0
1,nic.ru,256,146.701,147.039,148.270,0.488,0
1,nic.ru,512,147.144,147.386,148.075,0.457,0
1,nic.ru,1024,147.759,147.908,148.196,0.511,0
1,nic.ru,2048,148.350,148.515,148.893,0.206,0
1,nic.ru,64,146.462,146.721,147.880,0.612,0
1,nic.ru,128,146.579,146.701,147.457,0.367,0
1,nic.ru,256,146.723,146.869,147.149,0.512,0
1,nic.ru,512,147.059,147.221,147.444,0.510,0
1,nic.ru,1024,147.704,147.876,148.356,0.470,0
1,nic.ru,2048,148.399,148.611,149.150,0.471,0
1,nic.ru,64,146.461,146.637,147.032,0.508,0
1,nic.ru,128,146.496,146.658,147.653,0.510,0
1,nic.ru,256,146.708,146.859,147.248,0.350,0
1,nic.ru,512,147.052,147.239,148.069,0.460,0
1,nic.ru,1024,147.737,147.873,148.155,0.156,0
1,nic.ru,2048,148.416,148.516,148.851,0.298,0
1,nic.ru,64,146.420,146.609,146.826,0.481,0
1,nic.ru,128,146.544,146.686,147.136,0.440,0
1,nic.ru,256,146.701,146.965,147.567,0.473,0
1,nic.ru,512,147.068,147.258,147.944,0.542,0
1,nic.ru,1024,147.760,147.840,147.939,0.517,0
1,nic.ru,2048,148.411,148.585,149.238,0.284,0
1,nic.ru,64,146.416,146.604,147.213,0.493,0
1,nic.ru,128,146.521,146.634,146.858,0.410,0
1,nic.ru,256,146.740,146.922,147.879,0.239,0
1,nic.ru,512,147.079,147.352,148.344,0.487,0
1,nic.ru,1024,147.788,147.891,148.084,0.256,0
1,nic.ru,2048,148.360,148.542,149.515,0.498,0
1,nic.ru,64,146.470,146.727,147.291,0.456,0
1,nic.ru,128,146.497,146.682,146.978,0.203,0
1,nic.ru,256,146.722,146.875,147.435,0.535,0
1,nic.ru,512,147.066,147.321,148.669,0.456,0
1,nic.ru,1024,147.770,147.921,148.712,0.357,0
1,nic.ru,2048,148.351,148.516,148.964,0.406,0
1,nic.ru,64,146.432,146.543,146.842,0.390,0
